"id","title","amount of children","num of people lives with","age","time living the same address","time in job","telephone","num of bank loans","num finished loans","income","EC-card holders","salary","salary+ec-cards","credit risk","running loans","region","requested cash","type of business","resident type","nationality","profession","transport","credit cards","good/bad"
"290","H","2","3","38","24","36","2","0","1","0","1","0","1","1","1","0","900","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"291","H","0","1","33","84","96","2","2","1","2700","0","100000","4","1","2","0","4000","Cars","Lease","German","Civil Service, M","Car","no credit cards","1"
"292","H","0","1","21","264","30","1","2","0","1000","0","2500","2","1","0","3","1300","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"293","R","1","2","26","36","60","1","0","0","1500","0","2500","2","3","0","0","2500","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"294","H","1","2","28","336","12","1","0","0","2000","0","2500","2","1","0","3","9000","Cars","Lease","German","Others","Car","no credit cards","0"
"295","H","1","2","25","192","48","2","0","0","2500","0","2500","2","1","2","0","1600","Furniture,Carpet","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"296","H","0","1","22","288","18","2","2","0","0","1","0","1","1","2","0","1700","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","Cheque card","1"
"297","H","0","1","19","240","24","1","0","0","1000","0","2500","2","1","1","0","900","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"298","H","0","1","23","240","6","2","0","1","0","1","0","1","3","0","0","1600","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"299","H","0","1","28","21","15","1","2","1","2700","0","100000","4","1","0","0","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"300","H","0","1","27","216","18","1","0","0","1800","0","2500","2","1","0","0","15000","Cars","Lease","German","Food,Building,Ca","Car","no credit cards","0"
"301","H","0","1","21","30","39","1","0","0","1900","0","2500","2","3","0","0","1300","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"302","H","0","1","31","88","54","2","0","0","0","1","0","1","3","0","0","4000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"303","H","1","2","26","30","84","1","0","0","0","1","0","1","3","0","3","1000","Dept. Store,Mail","Lease","German","Others","Without Vehicle","Cheque card","0"
"304","H","0","1","22","60","9","2","0","0","0","1","0","1","3","0","0","1800","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"305","R","0","1","25","30","84","2","0","0","0","1","0","1","1","1","0","2000","Furniture,Carpet","Lease","German","Civil Service, M","Without Vehicle","Cheque card","1"
"306","H","1","2","28","9","96","2","0","0","0","0","0","0","1","1","0","800","Dept. Store,Mail","Lease","German","Others","Car","Mastercard/Euroc","0"
"307","H","0","1","25","36","6","1","0","0","2000","0","2500","2","1","1","3","600","Dept. Store,Mail","Lease","German","Civil Service, M","Car","no credit cards","1"
"308","H","1","2","26","288","60","2","0","0","2200","0","2500","2","3","0","0","3000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"309","H","0","1","41","120","120","2","0","1","2700","0","100000","4","1","1","0","2500","Leisure","Lease","German","Others","Car","no credit cards","1"
"310","H","0","1","22","264","27","2","2","0","2600","0","100000","4","1","1","3","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"311","R","0","1","36","144","27","2","0","0","0","1","0","1","3","0","0","500","Dept. Store,Mail","Lease","German","Others","Without Vehicle","Cheque card","1"
"312","R","0","1","20","60","33","2","0","0","0","1","0","1","1","1","0","1700","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","1"
"313","H","0","1","39","216","288","1","2","0","0","1","0","1","1","2","0","1300","Dept. Store,Mail","Lease","German","Others","Without Vehicle","Cheque card","1"
"314","H","1","2","33","96","27","2","0","1","10000","0","100000","4","1","1","0","1700","Radio, TV, Hifi","Lease","German","Self-employed pe","Car","no credit cards","1"
"315","H","0","1","23","24","36","1","0","0","2000","0","2500","2","1","1","0","4000","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"316","H","0","1","31","88","33","1","0","1","0","1","0","1","1","1","0","500","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"317","H","0","1","31","96","30","2","0","0","2400","0","2500","2","1","1","0","3000","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"318","H","0","1","21","168","9","2","0","0","1500","0","2500","2","3","0","0","600","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"319","R","0","1","18","216","30","2","0","0","1000","0","2500","2","3","0","0","500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"320","H","1","2","23","18","30","1","0","0","2000","0","2500","2","3","0","0","1700","Furniture,Carpet","Lease","German","Military Service","Car","no credit cards","1"
"321","H","0","1","49","168","336","2","0","0","0","1","0","1","1","2","3","1400","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"322","H","0","1","20","240","27","1","0","0","1000","0","2500","2","3","0","0","1000","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"323","H","0","1","25","36","96","2","0","0","0","1","0","1","3","0","0","800","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"324","H","0","1","24","96","48","2","2","0","2000","0","2500","2","1","0","0","1400","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"325","R","1","2","40","36","15","1","0","0","0","1","0","1","1","0","0","1100","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"326","R","0","1","22","264","6","2","0","0","0","1","0","1","1","1","0","2500","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"327","R","0","1","24","168","12","1","0","0","2500","0","2500","2","3","0","0","1600","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"328","H","0","1","32","192","192","1","0","0","1800","0","2500","2","1","0","0","1600","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","1"
"329","H","0","1","32","192","192","1","0","0","1800","0","2500","2","1","0","0","1700","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","1"
"330","H","0","1","24","48","9","2","0","1","5000","0","100000","4","1","1","0","8000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"331","H","0","1","40","88","21","1","0","0","1800","0","2500","2","1","1","0","800","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"332","R","0","1","21","264","18","2","0","0","1500","0","2500","2","1","0","0","9000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"333","H","0","1","21","66","12","2","0","0","1500","0","2500","2","1","1","0","1400","Cars","Lease","German","Others","Car","no credit cards","1"
"334","H","1","2","22","48","9","1","0","0","0","1","0","1","3","0","0","1300","Cars","Lease","German","Others","Car","Cheque card","1"
"335","H","0","1","39","21","144","1","0","0","0","1","0","1","1","1","0","700","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"336","R","0","1","25","144","9","2","0","1","2200","0","2500","2","1","1","6","700","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"337","H","0","1","22","108","6","2","0","0","2000","0","2500","2","1","1","0","900","Cars","Lease","German","Others","Car","no credit cards","1"
"338","H","0","1","23","12","30","1","0","0","0","1","0","1","3","0","2","4000","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","1"
"339","H","0","1","23","12","30","1","2","0","2000","1","2500","3","3","0","2","5000","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","Cheque card","1"
"340","H","0","1","19","168","48","1","0","0","1800","0","2500","2","3","0","0","1900","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"341","R","0","1","45","192","336","1","0","0","0","1","0","1","3","0","0","4000","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"342","H","0","1","22","144","36","1","0","0","0","1","0","1","1","0","0","900","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","1"
"343","R","0","1","19","168","30","2","0","0","0","1","0","1","3","0","0","800","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","1"
"344","H","3","4","24","18","84","1","2","1","0","1","0","1","1","1","0","1900","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"345","H","0","2","20","96","30","1","0","0","1000","0","2500","2","3","0","0","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"346","H","1","2","26","312","120","1","0","0","2100","1","2500","3","1","2","0","1100","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"347","H","0","1","25","216","12","2","0","0","2300","0","2500","2","3","0","0","4000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"348","H","0","1","23","30","12","1","2","0","2000","0","2500","2","1","1","0","700","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"349","H","0","1","32","88","54","2","0","0","0","1","0","1","3","0","0","800","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"350","H","0","1","26","312","33","1","1","0","0","1","0","1","1","2","0","1300","Cars","Lease","German","Others","Car","Cheque card","1"
"351","H","1","2","28","36","12","1","0","0","1700","0","2500","2","1","0","0","700","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","0"
"352","H","1","2","35","42","39","2","0","0","2400","0","2500","2","1","1","0","1100","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"353","H","0","1","32","42","15","1","0","1","2100","0","2500","2","1","1","0","500","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"354","H","0","1","22","264","6","1","0","0","0","1","0","1","3","0","0","4000","Cars","Lease","German","Others","Car","Cheque card","1"
"355","R","0","1","40","30","96","1","2","1","1600","0","2500","2","1","1","0","1000","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","0"
"356","H","0","1","28","66","9","1","0","0","0","1","0","1","1","1","0","1400","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","Cheque card","0"
"357","H","0","1","20","168","36","1","0","0","0","1","0","1","1","0","0","600","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","1"
"358","R","1","2","29","216","30","1","0","0","0","1","0","1","1","1","0","1200","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"359","H","0","1","19","240","9","1","0","0","1900","0","2500","2","3","0","0","1300","Cars","Lease","German","Others","Car","no credit cards","1"
"360","H","0","1","25","312","54","1","0","0","1500","0","2500","2","1","1","0","1000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"361","R","0","1","27","42","9","1","0","0","0","1","0","1","3","0","0","1500","Cars","Lease","German","Others","Car","Cheque card","0"
"362","H","0","1","20","288","9","1","0","0","1000","0","2500","2","3","0","0","1500","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"363","R","2","3","39","48","288","2","0","0","0","1","0","1","3","0","0","1300","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"364","H","0","1","26","264","9","2","0","0","1900","0","2500","2","1","0","0","2500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"365","H","0","1","19","108","6","2","0","0","1000","0","2500","2","3","0","0","800","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"366","H","0","1","18","216","39","1","0","0","0","1","0","1","3","0","0","700","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","1"
"367","R","1","2","26","30","96","1","0","0","0","1","0","1","1","1","0","3000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"368","H","0","1","29","72","144","1","0","0","1700","0","2500","2","1","2","0","800","Cars","Lease","German","Others","Car","no credit cards","1"
"369","R","0","1","21","264","6","1","0","0","1500","0","2500","2","3","0","2","1400","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"370","R","0","1","45","216","336","2","0","0","0","1","0","1","1","4","0","6000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"371","H","2","3","19","120","21","1","2","1","1900","0","2500","2","3","0","0","500","Cars","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","1"
"372","H","0","1","36","144","144","2","2","1","1500","0","2500","2","1","1","0","1000","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"373","H","1","2","34","84","24","2","0","0","1700","0","2500","2","3","0","0","1400","Furniture,Carpet","Owner","German","Others","Car","no credit cards","0"
"374","H","0","1","23","288","3","1","0","0","0","1","0","1","3","0","0","600","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","1"
"375","H","0","1","37","6","24","2","0","0","2800","0","100000","4","3","0","0","15000","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"376","H","0","1","24","288","18","1","0","0","2400","0","2500","2","2","3","0","800","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"377","H","0","1","22","18","66","1","2","0","0","1","0","1","1","1","0","1300","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"378","R","0","1","31","48","48","1","0","0","0","1","0","1","3","0","2","2500","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","Cheque card","1"
"379","H","0","1","29","72","15","1","2","1","0","1","0","1","1","1","0","600","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"380","H","0","1","22","168","84","1","1","1","0","1","0","1","1","4","0","1200","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","Cheque card","1"
"381","R","1","2","27","42","120","2","0","0","0","1","0","1","3","0","0","900","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"382","R","0","1","21","264","54","2","0","0","1900","0","2500","2","3","0","0","1800","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","0"
"383","H","0","1","24","84","9","1","0","0","1500","0","2500","2","3","0","0","700","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","1"
"384","H","0","1","23","288","60","1","0","0","2800","1","100000","5","1","1","0","1700","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","1"
"385","H","0","1","22","264","33","1","0","0","2200","0","2500","2","1","1","0","500","Radio, TV, Hifi","Lease","German","Military Service","Without Vehicle","no credit cards","1"
"386","H","0","1","20","240","30","1","0","0","1500","0","2500","2","3","0","0","900","Dept. Store,Mail","Lease","German","Others","Without Vehicle","no credit cards","1"
"387","H","2","3","42","144","24","2","0","0","0","1","0","1","1","1","0","500","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"388","H","1","2","28","42","84","2","0","0","0","1","0","1","3","0","0","700","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","1"
"389","H","0","1","21","240","45","2","0","0","0","1","0","1","1","1","0","1500","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","1"
"390","R","0","1","19","240","18","2","0","0","1000","0","2500","2","3","0","0","500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"391","H","1","2","44","192","36","1","0","0","2300","0","2500","2","1","1","0","500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"392","H","0","1","27","48","84","1","0","1","2000","0","2500","2","1","4","0","1000","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","no credit cards","1"
"393","H","0","1","19","120","6","1","0","0","0","1","0","1","1","0","0","4000","Cars","Lease","German","Others","Car","Cheque card","0"
"394","R","0","1","21","192","39","1","0","0","0","1","0","1","3","0","0","500","Cars","Lease","German","Others","Car","Cheque card","1"
"395","H","0","1","20","144","15","1","0","1","2200","0","2500","2","1","1","0","2500","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"396","H","0","1","68","216","27","2","0","0","0","1","0","1","3","0","0","1300","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","Cheque card","0"
"397","H","0","1","20","216","6","1","2","0","0","1","0","1","1","0","0","500","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"398","H","0","1","20","168","30","2","2","0","1000","0","2500","2","1","1","0","700","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","0"
"399","R","0","1","49","264","96","1","0","0","1600","0","2500","2","3","0","0","600","Dept. Store,Mail","Lease","German","Pensioner","Without Vehicle","no credit cards","0"
"400","H","0","1","23","168","3","1","0","0","1700","0","2500","2","3","0","0","10000","Cars","Lease","German","Others","Car","no credit cards","0"
"401","H","0","1","30","36","18","1","0","0","2000","0","2500","2","1","1","0","1200","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"402","H","0","1","27","36","84","2","0","1","0","1","0","1","1","1","0","600","Dept. Store,Mail","Lease","German","Military Service","Car","Cheque card","1"
"403","H","0","1","29","6","27","1","2","1","2200","0","2500","2","1","1","0","4000","Dept. Store,Mail","Lease","German","Military Service","Car","no credit cards","1"
"404","H","2","3","25","36","24","2","0","0","0","1","0","1","1","1","0","1700","Dept. Store,Mail","Lease","German","Civil Service, M","Car","Cheque card","0"
"405","H","0","1","38","88","18","1","2","0","2200","0","2500","2","1","1","0","600","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"406","R","0","1","31","336","21","2","0","0","1600","0","2500","2","2","0","0","1400","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"407","H","1","2","27","30","108","1","0","0","2600","0","100000","4","1","1","0","4000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"408","R","0","1","21","9","27","1","0","0","1500","1","2500","3","3","0","0","1800","Radio, TV, Hifi","Lease","German","Civil Service, M","Without Vehicle","Cheque card","0"
"409","H","0","1","18","216","30","2","0","0","0","1","0","1","3","0","0","1900","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","Cheque card","1"
"410","R","0","1","42","60","30","2","2","1","1600","0","2500","2","3","0","0","2500","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","0"
"411","H","1","2","25","312","45","1","0","0","0","1","0","1","1","1","0","4000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"412","R","0","1","21","192","9","1","0","0","2100","0","2500","2","3","0","0","1000","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","no credit cards","1"
"413","H","1","2","41","84","36","2","2","1","1500","0","2500","2","3","0","0","1200","Radio, TV, Hifi","Lease","German","Pensioner","Without Vehicle","no credit cards","1"
"414","H","1","2","32","84","48","1","0","0","2800","0","100000","4","3","0","0","1300","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","0"
"415","R","0","1","27","21","72","2","0","0","0","1","0","1","3","0","0","600","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"416","H","0","1","24","30","39","2","0","0","2200","0","2500","2","3","0","3","7000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"417","H","0","1","22","36","15","1","2","0","2000","1","2500","3","1","2","0","4000","Radio, TV, Hifi","Lease","German","Civil Service, M","Without Vehicle","Cheque card","1"
"418","H","0","1","19","168","9","2","0","0","2000","0","2500","2","3","0","0","2500","Furniture,Carpet","Lease","German","Military Service","Car","no credit cards","1"
"419","H","0","1","19","108","15","2","0","0","1500","0","2500","2","3","0","0","500","Dept. Store,Mail","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"420","H","0","1","25","6","96","2","0","1","2400","0","2500","2","1","2","0","2500","Dept. Store,Mail","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"421","R","1","2","27","42","66","2","0","0","0","1","0","1","3","0","3","600","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"422","H","0","1","20","144","6","2","0","0","1700","0","2500","2","3","0","0","900","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"423","R","0","1","27","336","96","1","0","1","0","1","0","1","3","0","0","2500","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","0"
"424","R","0","1","22","264","39","1","0","0","1700","0","2500","2","3","0","0","3000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"425","H","0","1","27","240","24","2","0","0","0","1","0","1","3","0","0","2000","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"426","H","1","2","31","18","168","1","0","0","0","1","0","1","3","0","0","900","Furniture,Carpet","Lease","German","Others","Car","Cheque card","1"
"427","H","0","1","23","144","84","1","2","1","0","1","0","1","1","1","0","1800","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
"428","H","0","1","40","96","12","1","0","0","2900","0","100000","4","3","0","0","15000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"429","R","0","1","22","36","45","1","0","0","1600","0","2500","2","3","0","0","1100","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"430","R","1","2","29","6","108","2","0","0","0","1","0","1","3","0","0","1900","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"431","H","3","4","23","36","6","1","0","0","1500","0","2500","2","3","0","0","1100","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","1"
"432","H","0","1","23","120","27","2","0","0","0","1","0","1","1","2","0","4000","Cars","Lease","German","Others","Car","Cheque card","0"
"433","H","0","1","25","312","18","1","0","0","2000","0","2500","2","3","0","0","2000","Cars","Lease","German","Others","Car","no credit cards","0"
"434","R","0","1","23","30","30","1","0","0","2100","0","2500","2","3","0","0","800","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","no credit cards","0"
"435","H","0","1","27","54","96","1","0","0","0","1","0","1","3","0","0","1000","Furniture,Carpet","Lease","German","Others","Car","Cheque card","0"
"436","H","0","1","21","264","60","1","0","0","1800","0","2500","2","1","2","0","1700","Cars","Lease","German","Others","Car","Mastercard/Euroc","1"
"437","H","0","1","26","312","9","2","0","0","2000","0","2500","2","3","0","0","20000","Cars","Lease","German","Others","Car","no credit cards","1"
"438","H","0","1","19","240","36","2","0","0","1000","0","2500","2","3","0","2","600","Radio, TV, Hifi","Lease","German","Sea Vojage, Gast","Without Vehicle","no credit cards","1"
"439","R","0","1","19","144","9","2","0","0","1800","0","2500","2","3","0","3","1000","Radio, TV, Hifi","Lease","German","Civil Service, M","Without Vehicle","no credit cards","1"
"440","R","0","1","21","24","24","2","0","0","1500","0","2500","2","3","0","6","500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"441","H","0","1","20","15","15","2","0","0","2500","0","2500","2","1","2","7","1600","Furniture,Carpet","Lease","Turkish","Others","Car","no credit cards","0"
"442","H","0","1","22","30","18","2","0","0","2100","0","2500","2","1","2","5","900","Cars","Lease","German","Others","Car","no credit cards","1"
"443","H","0","1","20","36","24","1","0","0","0","1","0","1","1","1","7","700","Radio, TV, Hifi","Lease","Turkish","Others","Car","Cheque card","1"
"444","H","0","1","19","96","42","2","0","0","2400","0","2500","2","1","0","2","2500","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"445","H","0","1","21","120","3","2","0","0","1500","0","2500","2","3","0","5","5000","Cars","Lease","German","Others","Car","no credit cards","1"
"446","H","0","1","20","240","33","2","0","0","0","0","0","0","3","0","4","4000","Others","Lease","German","Civil Service, M","Car","Mastercard/Euroc","1"
"447","H","0","1","22","48","84","2","0","0","0","1","0","1","3","0","8","2500","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","Cheque card","1"
"448","H","0","1","19","144","27","2","0","0","1500","0","2500","2","1","1","4","600","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","0"
"449","H","0","1","20","54","9","2","0","0","1900","0","2500","2","3","0","7","900","Radio, TV, Hifi","Lease","Turkish","Others","Without Vehicle","no credit cards","1"
"450","H","0","1","20","144","3","2","0","1","4000","0","100000","4","3","0","4","1200","Radio, TV, Hifi","Lease","Turkish","State,Steel Ind,","Car","no credit cards","1"
"451","R","0","1","22","0","27","1","0","1","1500","0","2500","2","1","1","6","3000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"452","H","0","1","20","168","18","2","0","0","1000","0","2500","2","3","0","4","1000","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"453","H","0","1","20","240","45","2","0","0","2300","0","2500","2","3","0","3","700","Dept. Store,Mail","Lease","German","Chemical Industr","Car","no credit cards","1"
"454","H","1","2","19","108","15","2","0","0","1500","0","2500","2","3","0","4","800","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"455","H","0","1","19","48","48","2","0","0","1900","1","2500","3","3","0","4","600","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","1"
"456","H","0","1","22","3","12","2","0","0","2100","0","2500","2","3","0","8","800","Radio, TV, Hifi","Lease","German","Military Service","Car","no credit cards","1"
"457","H","0","1","20","54","42","1","0","0","1000","0","2500","2","1","1","4","700","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"458","R","0","1","21","264","27","2","0","0","1700","0","2500","2","3","0","7","1300","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"459","R","0","1","20","15","15","2","0","0","1900","0","2500","2","3","0","4","3000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"460","H","0","1","18","240","24","2","0","0","0","1","0","1","3","0","3","700","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","0"
"461","H","0","1","21","96","9","2","0","0","1800","0","2500","2","3","0","4","600","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"462","H","0","1","20","264","6","2","0","0","2300","0","2500","2","3","0","4","1100","Furniture,Carpet","Lease","Greek","Others","Car","no credit cards","0"
"463","H","0","1","20","264","3","2","0","0","2000","0","2500","2","3","0","5","600","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"464","H","1","2","22","3","60","2","0","0","2000","0","2500","2","1","1","3","1800","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"465","R","0","1","21","6","24","2","0","0","1500","0","2500","2","3","0","3","1400","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","0"
"466","H","0","1","22","264","9","2","0","0","4000","0","100000","4","3","0","8","3000","Radio, TV, Hifi","Lease","Yugoslav","Others","Car","no credit cards","1"
"467","R","1","2","21","6","33","2","0","0","0","1","0","1","3","0","3","1400","Furniture,Carpet","Lease","German","Others","Without Vehicle","Cheque card","1"
"468","H","0","1","22","6","54","2","0","0","2200","0","2500","2","3","0","5","700","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"469","H","0","1","20","168","45","2","0","1","1600","0","2500","2","1","1","4","800","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"470","R","0","1","22","12","15","2","0","0","1500","0","2500","2","1","1","2","2000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","1"
"471","H","0","1","20","240","18","1","0","0","1000","0","2500","2","3","0","4","500","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Car","no credit cards","1"
"472","H","0","1","20","216","9","2","0","0","1500","0","2500","2","1","0","4","900","Radio, TV, Hifi","Lease","German","Food,Building,Ca","Without Vehicle","no credit cards","1"
"473","H","0","1","20","216","9","2","0","0","1500","0","2500","2","3","0","4","800","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"474","H","0","1","20","168","48","2","0","0","3100","0","100000","4","3","0","2","800","Dept. Store,Mail","Lease","German","Others","Car","no credit cards","0"
"475","H","0","1","20","192","21","2","0","0","1000","1","2500","3","3","0","7","1400","Radio, TV, Hifi","Lease","German","Others","Car","Cheque card","0"
"476","H","0","1","22","15","6","2","0","1","1700","0","2500","2","3","0","2","2000","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"477","R","0","1","19","48","36","2","0","0","1500","0","2500","2","3","0","5","1800","Furniture,Carpet","Lease","Turkish","Others","Car","no credit cards","0"
"478","H","0","1","21","120","60","2","0","0","1500","0","2500","2","3","0","5","900","Cars","Lease","German","Others","Car","no credit cards","0"
"479","H","0","1","20","168","30","2","0","0","2000","0","2500","2","3","0","7","800","Cars","Lease","German","Others","Car","no credit cards","1"
